"filename", "language", "Vue", "JavaScript", "comment", "blank", "total"
"i:\System-preparation\SA-front-project\sa-project\src\App.vue", "Vue", 16, 0, 0, 4, 20
"i:\System-preparation\SA-front-project\sa-project\src\components\Footer.vue", "Vue", 26, 0, 0, 4, 30
"i:\System-preparation\SA-front-project\sa-project\src\components\Header.vue", "Vue", 36, 0, 0, 3, 39
"i:\System-preparation\SA-front-project\sa-project\src\components\HelloWorld.vue", "Vue", 111, 0, 0, 3, 114
"i:\System-preparation\SA-front-project\sa-project\src\main.js", "JavaScript", 0, 19, 7, 6, 32
"i:\System-preparation\SA-front-project\sa-project\src\router\index.js", "JavaScript", 0, 19, 0, 3, 22
"i:\System-preparation\SA-front-project\sa-project\src\views\dataState\dataState.vue", "Vue", 254, 0, 16, 24, 294
"i:\System-preparation\SA-front-project\sa-project\src\views\modelList\ModelList.vue", "Vue", 122, 0, 1, 8, 131
"i:\System-preparation\SA-front-project\sa-project\src\views\paramStateSR\ParamStateSR.vue", "Vue", 221, 0, 12, 20, 253
"i:\System-preparation\SA-front-project\sa-project\src\views\paramState\ParamState.vue", "Vue", 226, 0, 12, 21, 259
"i:\System-preparation\SA-front-project\sa-project\src\views\processStep\ProcessStep.vue", "Vue", 569, 0, 74, 38, 681
"i:\System-preparation\SA-front-project\sa-project\src\views\saPage\SAPage.vue", "Vue", 688, 0, 34, 50, 772
"i:\System-preparation\SA-front-project\sa-project\src\views\scoreSA\ScoreSA.vue", "Vue", 414, 0, 9, 18, 441
"i:\System-preparation\SA-front-project\sa-project\src\views\simResult\SimResult.vue", "Vue", 159, 0, 6, 16, 181
"i:\System-preparation\SA-front-project\sa-project\src\views\simSetting\SimSetting.vue", "Vue", 67, 0, 0, 8, 75
"Total", "-", 2909, 38, 171, 226, 3344
